﻿postal_cd,prefecture,city,town,street,address,full_address,longitude,latitude
060-0000,北海道,札幌市中央区,,,,北海道札幌市中央区,141.34103,43.05513
064-0941,北海道,札幌市中央区,旭ケ丘,,,北海道札幌市中央区旭ケ丘,141.31972,43.04223
060-0042,北海道,札幌市中央区,大通西,,１丁目,北海道札幌市中央区大通西１丁目,141.35637,43.06102
060-0042,北海道,札幌市中央区,大通西,,２丁目,北海道札幌市中央区大通西２丁目,141.35445,43.0608
060-0042,北海道,札幌市中央区,大通西,,３丁目,北海道札幌市中央区大通西３丁目,141.35275,43.06086
060-0042,北海道,札幌市中央区,大通西,,４丁目,北海道札幌市中央区大通西４丁目,141.35126,43.06039
060-0042,北海道,札幌市中央区,大通西,,５丁目,北海道札幌市中央区大通西５丁目,141.34975,43.06017
060-0042,北海道,札幌市中央区,大通西,,６丁目,北海道札幌市中央区大通西６丁目,141.34821,43.05992
060-0042,北海道,札幌市中央区,大通西,,７丁目,北海道札幌市中央区大通西７丁目,141.34663,43.05974
060-0042,北海道,札幌市中央区,大通西,,８丁目,北海道札幌市中央区大通西８丁目,141.34506,43.05957
060-0042,北海道,札幌市中央区,大通西,,９丁目,北海道札幌市中央区大通西９丁目,141.34351,43.05935
060-0042,北海道,札幌市中央区,大通西,,１０丁目,北海道札幌市中央区大通西１０丁目,141.34192,43.05913
060-0042,北海道,札幌市中央区,大通西,,１１丁目,北海道札幌市中央区大通西１１丁目,141.34036,43.05891
060-0042,北海道,札幌市中央区,大通西,,１２丁目,北海道札幌市中央区大通西１２丁目,141.33884,43.05867
060-0042,北海道,札幌市中央区,大通西,,１３丁目,北海道札幌市中央区大通西１３丁目,141.33728,43.05846
060-0042,北海道,札幌市中央区,大通西,,１４丁目,北海道札幌市中央区大通西１４丁目,141.33572,43.05827
060-0042,北海道,札幌市中央区,大通西,,１５丁目,北海道札幌市中央区大通西１５丁目,141.33415,43.05809
060-0042,北海道,札幌市中央区,大通西,,１６丁目,北海道札幌市中央区大通西１６丁目,141.3326,43.05787
060-0042,北海道,札幌市中央区,大通西,,１７丁目,北海道札幌市中央区大通西１７丁目,141.33102,43.05766
060-0042,北海道,札幌市中央区,大通西,,１８丁目,北海道札幌市中央区大通西１８丁目,141.3295,43.05745
060-0042,北海道,札幌市中央区,大通西,,１９丁目,北海道札幌市中央区大通西１９丁目,141.32793,43.05723
064-0820,北海道,札幌市中央区,大通西,,２０丁目,北海道札幌市中央区大通西２０丁目,141.32625,43.05722
064-0820,北海道,札幌市中央区,大通西,,２１丁目,北海道札幌市中央区大通西２１丁目,141.32498,43.05714
064-0820,北海道,札幌市中央区,大通西,,２２丁目,北海道札幌市中央区大通西２２丁目,141.32362,43.05699
064-0820,北海道,札幌市中央区,大通西,,２３丁目,北海道札幌市中央区大通西２３丁目,141.32228,43.0568
064-0820,北海道,札幌市中央区,大通西,,２４丁目,北海道札幌市中央区大通西２４丁目,141.32076,43.05671
064-0820,北海道,札幌市中央区,大通西,,２５丁目,北海道札幌市中央区大通西２５丁目,141.31952,43.05635
064-0820,北海道,札幌市中央区,大通西,,２６丁目,北海道札幌市中央区大通西２６丁目,141.31818,43.05616
064-0820,北海道,札幌市中央区,大通西,,２７丁目,北海道札幌市中央区大通西２７丁目,141.31653,43.05602
064-0820,北海道,札幌市中央区,大通西,,２８丁目,北海道札幌市中央区大通西２８丁目,141.3147,43.05578
060-0041,北海道,札幌市中央区,大通東,,,北海道札幌市中央区大通東,141.37206,43.06415
060-0001,北海道,札幌市中央区,北一条西,,１丁目,北海道札幌市中央区北一条西１丁目,141.3557,43.06283
060-0001,北海道,札幌市中央区,北一条西,,２丁目,北海道札幌市中央区北一条西２丁目,141.35385,43.0625
060-0001,北海道,札幌市中央区,北一条西,,３丁目,北海道札幌市中央区北一条西３丁目,141.35236,43.06244
060-0001,北海道,札幌市中央区,北一条西,,４丁目,北海道札幌市中央区北一条西４丁目,141.35081,43.06221
060-0001,北海道,札幌市中央区,北一条西,,５丁目,北海道札幌市中央区北一条西５丁目,141.34929,43.06199
060-0001,北海道,札幌市中央区,北一条西,,６丁目,北海道札幌市中央区北一条西６丁目,141.34773,43.06173
060-0001,北海道,札幌市中央区,北一条西,,７丁目,北海道札幌市中央区北一条西７丁目,141.34621,43.06155
060-0001,北海道,札幌市中央区,北一条西,,８丁目,北海道札幌市中央区北一条西８丁目,141.34451,43.06131
060-0001,北海道,札幌市中央区,北一条西,,９丁目,北海道札幌市中央区北一条西９丁目,141.34306,43.06122
060-0001,北海道,札幌市中央区,北一条西,,１０丁目,北海道札幌市中央区北一条西１０丁目,141.34149,43.06095
060-0001,北海道,札幌市中央区,北一条西,,１１丁目,北海道札幌市中央区北一条西１１丁目,141.33992,43.06073
060-0001,北海道,札幌市中央区,北一条西,,１２丁目,北海道札幌市中央区北一条西１２丁目,141.33836,43.06048
060-0001,北海道,札幌市中央区,北一条西,,１３丁目,北海道札幌市中央区北一条西１３丁目,141.33682,43.06026
060-0001,北海道,札幌市中央区,北一条西,,１４丁目,北海道札幌市中央区北一条西１４丁目,141.33527,43.06008
060-0001,北海道,札幌市中央区,北一条西,,１５丁目,北海道札幌市中央区北一条西１５丁目,141.33371,43.05991
060-0001,北海道,札幌市中央区,北一条西,,１６丁目,北海道札幌市中央区北一条西１６丁目,141.33215,43.05969
060-0001,北海道,札幌市中央区,北一条西,,１７丁目,北海道札幌市中央区北一条西１７丁目,141.33057,43.05947
060-0001,北海道,札幌市中央区,北一条西,,１８丁目,北海道札幌市中央区北一条西１８丁目,141.32901,43.05926
060-0001,北海道,札幌市中央区,北一条西,,１９丁目,北海道札幌市中央区北一条西１９丁目,141.32745,43.05904
064-0821,北海道,札幌市中央区,北一条西,,２０丁目,北海道札幌市中央区北一条西２０丁目,141.32588,43.05889
064-0821,北海道,札幌市中央区,北一条西,,２１丁目,北海道札幌市中央区北一条西２１丁目,141.32452,43.05865
